No.,ID,Name Variable,Value,Timestamp,Kind of Data,Connected Wifi
0,On,On,0,2024-04-27T16:37:09.424559,MachineStatus,1
0,D100,Encoder Value,916,2024-04-27T16:37:10.472133,Encoder,1
0,D3050,BOTTOM_CAP_REJ_TR1,34,2024-04-27T16:37:10.508194,Checking,1
0,D4112,S8_CURRENT_HEIGHT_TR1,0.0,2024-04-27T16:37:10.530722,Setting,1
1,D4116,S8_OFF_SET_TR1,20.95,2024-04-27T16:37:10.558153,Setting,1
2,D4120,S8_TOTAL_HEIGHT_TR1,20.95,2024-04-27T16:37:10.591294,Setting,1
3,D4124,S8_MINIMUN_HEIGHT_VALUE_TR1,21.0,2024-04-27T16:37:10.611210,Setting,1
0,M32,AIR_PRESSURE_LOW,0,2024-04-27T16:37:10.653895,Alarm,1
1,D3052,SILICON_PRESENCE_REJ_TR1,95,2024-04-27T16:37:10.684022,Checking,1
0,X55,S4/in/00,1,2024-04-27T16:37:10.719053,Input,1
0,Y50,S4/out/00,0,2024-04-27T16:37:10.741585,Output,1
4,D4128,S8_MAXIMUM_HEIGHT_VALUE_TR1,21.32,2024-04-27T16:37:10.765043,Setting,1
0,D3012,goodProductRaw,32311,2024-04-27T16:37:10.789319,Counting,1
1,M33,INDEX_MOTOR_OVERLOAD,0,2024-04-27T16:37:10.830485,Alarm,1
0,D212,Cycle/S1/cycle/on/00,20,2024-04-27T16:37:10.862612,Cycle,1
1,D210,Cycle/S1/cycle/on/01,230,2024-04-27T16:37:10.890871,Cycle,1
1,X56,S4/in/01,1,2024-04-27T16:37:10.940820,Input,1
1,Y51,S4/out/01,0,2024-04-27T16:37:10.974407,Output,1
5,D4312,S8_CURRENT_HEIGHT_TR3,0.03,2024-04-27T16:37:11.004419,Setting,1
1,D3043,EFF,96.2,2024-04-27T16:37:11.046958,Counting,1
2,M34,MANUAL_CONTROL_NOT_ON,0,2024-04-27T16:37:11.105719,Alarm,1
2,D3054,COVER_PRESENCE_REJ_TR1,95,2024-04-27T16:37:11.149190,Checking,1
3,D3056,HEIGHT_CHK_REJ_TR1,1,2024-04-27T16:37:11.170494,Checking,1
2,X57,S4/in/02,0,2024-04-27T16:37:11.220497,Input,1
2,Y52,S4/out/02,0,2024-04-27T16:37:11.257716,Output,1
6,D4316,S8_OFF_SET_TR3,21.07,2024-04-27T16:37:11.299029,Setting,1
7,D4320,S8_TOTAL_HEIGHT_TR3,21.1,2024-04-27T16:37:11.326819,Setting,1
8,D4324,S8_MINIMUM_HEIGHT_VALUE_TR3,21.0,2024-04-27T16:37:11.379727,Setting,1
3,M35,EMERGENCY_STOP_PREESD,0,2024-04-27T16:37:11.436892,Alarm,1
4,M36,MANCHINE_IN_AUTO_MODE,0,2024-04-27T16:37:11.453615,Alarm,1
5,M37,MANUAL_MODE_SELECTED,0,2024-04-27T16:37:11.493040,Alarm,1
3,X60,S4/in/03,0,2024-04-27T16:37:11.562333,Input,1
4,X61,S4/in/04,0,2024-04-27T16:37:11.611561,Input,1
5,X62,S4/in/05,0,2024-04-27T16:37:11.680815,Input,1
9,D4328,S8_MAXIMUM_HEIGHT_VALUE_TR3,21.3,2024-04-27T16:37:11.743350,Setting,1
2,D223,Cycle/S1/cycle/on/02,250,2024-04-27T16:37:11.793812,Cycle,1
4,D3058,LEAK_TEST_CHK_OK_TR1,99,2024-04-27T16:37:11.830821,Checking,1
6,M38,BOWL_FEEDER_SWITCH_NOT_ON,0,2024-04-27T16:37:11.874931,Alarm,1
3,Y53,S4/out/03,0,2024-04-27T16:37:11.935997,Output,1
2,D3150,ACT_BATCH_CNT,1998,2024-04-27T16:37:12.075781,Counting,1
6,X63,S4/in/06,1,2024-04-27T16:37:12.122783,Input,1
10,D4212,S9_CURRENT_HEIGHT_TR2,0.0,2024-04-27T16:37:12.177423,Setting,1
11,D4216,S9_OFF_SET_TR2,20.75,2024-04-27T16:37:12.198338,Setting,1
5,D3064,BOTTOM_CAP_REJ_TR2,39,2024-04-27T16:37:12.268284,Checking,1
7,M39,LINEAR_FEEDER_SWITCH_NOT_ON,0,2024-04-27T16:37:12.291840,Alarm,1
4,Y54,S4/out/04,1,2024-04-27T16:37:12.324397,Output,1
3,D3160,SET_BATCH_QTY,5050,2024-04-27T16:37:12.345169,Counting,1
7,X64,S4/in/07,1,2024-04-27T16:37:12.368828,Input,1
3,D218,Cycle/S1/cycle/on/03,350,2024-04-27T16:37:12.392280,Cycle,1
12,D4220,S9_TOTAL_HEIGHT_TR2,20.75,2024-04-27T16:37:12.409291,Setting,1
6,D3066,SILICON_PRESENCE_REJ_TR2,78,2024-04-27T16:37:12.424295,Checking,1
8,M72,CC_LINK_COMMUNICATION_ERROR,0,2024-04-27T16:37:12.442821,Alarm,1
9,M73,SET_BATCH_QTY_RECHED,0,2024-04-27T16:37:12.460816,Alarm,1
5,Y55,S4/out/05,1,2024-04-27T16:37:12.476868,Output,1
4,D3000,TOTAL_CNT_TR1,8403,2024-04-27T16:37:12.491131,Counting,1
8,X65,S4/in/08,1,2024-04-27T16:37:12.504748,Input,1
4,D213,Cycle/S1/cycle/on/04,500,2024-04-27T16:37:12.532502,Cycle,1
13,D4224,S9_MINIMUM_HEIGHT_VALUE_TR2,20.8,2024-04-27T16:37:12.554935,Setting,1
7,D3068,COVER_PRESENCE_REJ_TR2,45,2024-04-27T16:37:12.565936,Checking,1
10,M41,S1_HORZ_PICK_&_PLACE_SLIDE_NOT_REV,0,2024-04-27T16:37:12.587934,Alarm,1
6,Y56,S4/out/06,0,2024-04-27T16:37:12.597934,Output,1
5,D3002,TOTAL_CNT_TR2,8397,2024-04-27T16:37:12.612401,Counting,1
9,X66,S4/in/09,1,2024-04-27T16:37:12.628431,Input,1
5,D211,Cycle/S1/cycle/on/05,715,2024-04-27T16:37:12.648529,Cycle,1
14,D4228,S9_MAXIMUM_HEIGHT_VALUE_TR2,21.4,2024-04-27T16:37:12.664763,Setting,1
8,D3070,HEIGHT_CHK_REJ_TR2,3,2024-04-27T16:37:12.671192,Checking,1
11,M42,S1_SLING_PLATE_VERT_LIFT_CYL_NOT_DN_,0,2024-04-27T16:37:12.693286,Alarm,1
7,Y57,S4/out/07,0,2024-04-27T16:37:12.706178,Output,1
6,D3004,TOTAL_CNT_TR3,8392,2024-04-27T16:37:12.724180,Counting,1
7,D3006,TOTAL_CNT_TR4,8374,2024-04-27T16:37:12.739184,Counting,1
6,D300,Cycle/S1/cycle/on/06,740,2024-04-27T16:37:12.759513,Cycle,1
15,D4412,S9_CURRENT_HEIGHT_TR4,0.0,2024-04-27T16:37:12.775695,Setting,1
9,D3072,LEAK_TEST_CHK_TR2,108,2024-04-27T16:37:12.789018,Checking,1
10,D3076,BOTTOM_CAP_REJ_TR3,44,2024-04-27T16:37:12.812123,Checking,1
12,M44,S2_HORZ_PICK_&_PLACE_CYL_NOT_REV,0,2024-04-27T16:37:12.824206,Alarm,1
8,Y60,S4/out/08,0,2024-04-27T16:37:12.845309,Output,1
8,D3018,errorProduct,1255,2024-04-27T16:37:12.870793,Counting,1
7,D222,Cycle/S1/cycle/on/07,750,2024-04-27T16:37:12.905388,Cycle,1
16,D4416,S9_OFF_SET_TR4,20.98,2024-04-27T16:37:12.920219,Setting,1
