No.,ID,Name Variable,Value,Timestamp,Kind of Data,Connected Wifi
17,D4420,S9_TOTAL_HEIGHT_TR4,20.98,2024-04-27T16:37:12.935153,Setting,1
11,D3078,SILICON_PRESENCE_REJ_TR3,142,2024-04-27T16:37:12.965220,Checking,1
13,M45,S2_SING_PLATE_VERT_LIFT_CYL_NOT_DN,0,2024-04-27T16:37:12.980107,Alarm,1
14,M47,S3_SILICON_PRESSING_CYL_NOT_UP_TR1,0,2024-04-27T16:37:13.004143,Alarm,1
15,M48,S3_SILICON_PRESSING_CYL_NOT_UP_TR2,0,2024-04-27T16:37:13.026152,Alarm,1
16,M49,S3_SILICON_PRESSING_CYL_NOT_UP_TR3,0,2024-04-27T16:37:13.044663,Alarm,1
8,D215,Cycle/S1/cycle/on/08,750,2024-04-27T16:37:13.079751,Cycle,1
9,D412,Cycle/S1/cycle/off/00,150,2024-04-27T16:37:13.101123,Cycle,1
18,D4424,S9_HEIGHT_MINIMUM_VALUE_TR4,21.0,2024-04-27T16:37:13.123764,Setting,1
12,D3080,COVER_PRESENCE_REJ_TR3,85,2024-04-27T16:37:13.155712,Checking,1
13,D3082,HEIGHT_CHK_REJ_TR3,2,2024-04-27T16:37:13.175544,Checking,1
9,D3020,GOOD_CNT_TR1,8113,2024-04-27T16:37:13.212376,Counting,1
17,M50,S3_SILICON_PRESSING_CYL_NOT_UP_TR4,0,2024-04-27T16:37:13.229575,Alarm,1
18,M52,S4_HORZ_PICK_&_PLACE_SLIDE_NOT_REV,0,2024-04-27T16:37:13.246557,Alarm,1
10,D410,Cycle/S1/cycle/off/01,240,2024-04-27T16:37:13.262338,Cycle,1
19,D4428,S9_MAXIMUM_HEIGHT_VALUE_TR4,21.32,2024-04-27T16:37:13.287733,Setting,1
9,Y61,S4/out/09,0,2024-04-27T16:37:13.317512,Output,1
14,D3084,LEAK_TEST_CHK_TR3,167,2024-04-27T16:37:13.332569,Checking,1
15,D3088,BOTTOM_CAL_REJ_TR4,62,2024-04-27T16:37:13.352348,Checking,1
10,D3022,GOOD_CNT_TR2,8163,2024-04-27T16:37:13.375257,Counting,1
19,M53,S4_SING_PLATE_VERT_LIFT_CYL_NOT_UP,0,2024-04-27T16:37:13.402913,Alarm,1
11,D423,Cycle/S1/cycle/off/02,300,2024-04-27T16:37:13.419446,Cycle,1
10,Y62,S4/out/10,0,2024-04-27T16:37:13.454091,Output,1
11,Y63,S4/out/11,0,2024-04-27T16:37:13.469656,Output,1
16,D3090,SILICON_PRESENCE_REJ_TR4,91,2024-04-27T16:37:13.481020,Checking,1
11,D3024,GOOD_CNT_TR3,7996,2024-04-27T16:37:13.493269,Counting,1
20,M55,S5_VERT_SLIDE_NOT_DN,0,2024-04-27T16:37:13.514601,Alarm,1
12,D418,Cycle/S1/cycle/off/03,700,2024-04-27T16:37:13.525683,Cycle,1
12,Y222,S4/out/12,0,2024-04-27T16:37:13.571895,Output,1
17,D3092,COVER_PRESENCE_REJ_TR4,94,2024-04-27T16:37:13.580793,Checking,1
18,D3094,HEIGHT_CHK_REJ_TR4,46,2024-04-27T16:37:13.593227,Checking,1
21,M57,S6_SUPPORT_CYL_NOT_DN_TR2,0,2024-04-27T16:37:13.661674,Alarm,1
22,M58,S6_SUPPORT_CYL_NOT_DN_TR4,0,2024-04-27T16:37:13.681282,Alarm,1
13,Y223,S4/out/13,0,2024-04-27T16:37:13.747579,Output,1
12,D3026,GOOD_CNT_TR4,8039,2024-04-27T16:37:13.759634,Counting,1
19,D3096,LEAK_TEST_CHK_TR4,104,2024-04-27T16:37:13.768633,Checking,1
13,D413,Cycle/S1/cycle/off/04,550,2024-04-27T16:37:13.788547,Cycle,1
23,M60,S6_WELDING_UNIT_NOT_READY,0,2024-04-27T16:37:13.799604,Alarm,1
14,Y224,S4/out/14,0,2024-04-27T16:37:13.839769,Output,1
13,D3030,BAD_CNT_TR1,290,2024-04-27T16:37:13.848336,Counting,1
14,D411,Cycle/S1/cycle/off/05,725,2024-04-27T16:37:13.875454,Cycle,1
24,M59,S6_WELDING_MC_ALARM,0,2024-04-27T16:37:13.885390,Alarm,1
15,Y225,S4/out/15,0,2024-04-27T16:37:13.927264,Output,1
14,D3032,BAD_CNT_TR2,234,2024-04-27T16:37:13.937561,Counting,1
15,D500,Cycle/S1/cycle/off/06,800,2024-04-27T16:37:13.967600,Cycle,1
25,M62,S7_SUPPORT_CYL_NOT_DN_TR1,0,2024-04-27T16:37:13.976314,Alarm,1
16,Y226,S4/out/16,0,2024-04-27T16:37:14.019209,Output,1
15,D3034,BAD_CNT_TR3,396,2024-04-27T16:37:14.031327,Counting,1
16,D422,Cycle/S1/cycle/off/07,800,2024-04-27T16:37:14.084040,Cycle,1
26,M63,S7_SUPPORT_CYL_NOT_DN_TR3,0,2024-04-27T16:37:14.105360,Alarm,1
17,Y227,S4/out/17,0,2024-04-27T16:37:14.156681,Output,1
18,Y230,S4/out/18,0,2024-04-27T16:37:14.177814,Output,1
17,D415,Cycle/S1/cycle/off/08,850,2024-04-27T16:37:14.221348,Cycle,1
27,M64,S7_WELDING_MC_ALARM,0,2024-04-27T16:37:14.253384,Alarm,1
16,D3036,BAD_CNT_TR4,335,2024-04-27T16:37:14.308499,Counting,1
19,Y231,S4/out/19,0,2024-04-27T16:37:14.328289,Output,1
18,D238,Cycle/S2/cycle/on/00,900,2024-04-27T16:37:14.368187,Cycle,1
28,M65,S7_WELDING_UNIT_NOT_READY,0,2024-04-27T16:37:14.393422,Alarm,1
17,D3039,productCount,-31970,2024-04-27T16:37:14.445562,Counting,1
20,Y232,S4/out/20,0,2024-04-27T16:37:14.466245,Output,1
21,Y233,S4/out/21,0,2024-04-27T16:37:14.487760,Output,1
19,D233,Cycle/S2/cycle/on/01,230,2024-04-27T16:37:14.525000,Cycle,1
29,M67,S10_HOLDING_CYL_NOT_REV_TR1-X110,0,2024-04-27T16:37:14.556581,Alarm,1
22,Y234,S4/out/22,0,2024-04-27T16:37:14.631552,Output,1
20,D277,Cycle/S2/cycle/on/02,240,2024-04-27T16:37:14.661468,Cycle,1
30,M68,S10_HOLDING_CUL_NOT_REV-X111,0,2024-04-27T16:37:14.715104,Alarm,1
23,Y235,S4/out/23,0,2024-04-27T16:37:14.804795,Output,1
21,D236,Cycle/S2/cycle/on/03,270,2024-04-27T16:37:14.845974,Cycle,1
22,D216,Cycle/S2/cycle/on/04,350,2024-04-27T16:37:14.897056,Cycle,1
23,D234,Cycle/S2/cycle/on/05,700,2024-04-27T16:37:14.941592,Cycle,1
31,M69,S10_HOLDING_CYL_NOT_REV_TR3_-X130,0,2024-04-27T16:37:15.047156,Alarm,1
24,D246,Cycle/S2/cycle/on/06,600,2024-04-27T16:37:15.085285,Cycle,1
32,M70,S11_HORZ_PICK_&_PLACE_SLIDE_NOT_REV_,0,2024-04-27T16:37:15.175440,Alarm,1
25,D237,Cycle/S2/cycle/on/07,720,2024-04-27T16:37:15.223245,Cycle,1
26,D235,Cycle/S2/cycle/on/08,750,2024-04-27T16:37:15.308316,Cycle,1
33,M71,S10_HOLDING_CYL_NOT_REV_TR4,0,2024-04-27T16:37:15.454708,Alarm,1
27,D438,Cycle/S2/cycle/off/00,520,2024-04-27T16:37:15.505218,Cycle,1
34,M40,S3_HOLDING_CYL_NOT_REV,0,2024-04-27T16:37:15.616778,Alarm,1
28,D433,Cycle/S2/cycle/off/01,270,2024-04-27T16:37:15.657882,Cycle,1
29,D477,Cycle/S2/cycle/off/02,260,2024-04-27T16:37:15.786235,Cycle,1
35,M43,S6_HOLDING_CYL_NOT_REV,0,2024-04-27T16:37:15.883862,Alarm,1
30,D436,Cycle/S2/cycle/off/03,330,2024-04-27T16:37:15.941521,Cycle,1
31,D416,Cycle/S2/cycle/off/04,600,2024-04-27T16:37:16.065978,Cycle,1
36,M46,S7_HOLDING_CYL_NOT_REV,0,2024-04-27T16:37:16.143556,Alarm,1
37,M75,S1_LOW_LEVEL_FLG_TR1,0,2024-04-27T16:37:16.289848,Alarm,1
38,M76,S1_LOW_LEVEL_FLG_TR2,0,2024-04-27T16:37:16.305910,Alarm,1
32,D434,Cycle/S2/cycle/off/05,850,2024-04-27T16:37:16.344112,Cycle,1
39,M77,S1_LOW_LEVEL_FLG_TR3,0,2024-04-27T16:37:16.416176,Alarm,1
33,D446,Cycle/S2/cycle/off/06,650,2024-04-27T16:37:16.452589,Cycle,1
40,M78,S1_LOW_LEVEL_FLG_TR4,0,2024-04-27T16:37:16.524503,Alarm,1
34,D437,Cycle/S2/cycle/off/07,860,2024-04-27T16:37:16.570161,Cycle,1
41,M96,S4_LL_FLG_TR1,0,2024-04-27T16:37:16.656943,Alarm,1
35,D435,Cycle/S2/cycle/off/08,850,2024-04-27T16:37:16.692579,Cycle,1
42,M97,S4_LL_FLG_TR2,0,2024-04-27T16:37:16.760198,Alarm,1
36,D271,Cycle/S3/cycle/on/00,270,2024-04-27T16:37:16.795635,Cycle,1
37,D241,Cycle/S3/cycle/on/01,400,2024-04-27T16:37:16.809681,Cycle,1
38,D302,Cycle/S3/cycle/on/02,500,2024-04-27T16:37:16.831615,Cycle,1
43,M98,S4_LL_FLG_TR3,0,2024-04-27T16:37:16.887529,Alarm,1
39,D240,Cycle/S3/cycle/on/03,650,2024-04-27T16:37:16.938928,Cycle,1
44,M99,S4_LL_FLG_TR4,0,2024-04-27T16:37:16.980603,Alarm,1
40,D274,Cycle/S3/cycle/on/04,850,2024-04-27T16:37:17.038585,Cycle,1
45,M106,FRONT_DOOR_OPEN-X140,0,2024-04-27T16:37:17.084028,Alarm,1
41,D471,Cycle/S3/cycle/off/00,340,2024-04-27T16:37:17.135896,Cycle,1
46,M107,BACK_DOOR_OPEN-X141,0,2024-04-27T16:37:17.176946,Alarm,1
42,D441,Cycle/S3/cycle/off/01,450,2024-04-27T16:37:17.229516,Cycle,1
47,M108,LEFT_DOOR_OPEN-X142,0,2024-04-27T16:37:17.270114,Alarm,1
43,D502,Cycle/S3/cycle/off/02,600,2024-04-27T16:37:17.322639,Cycle,1
48,M109,RIGHT_DOOR_OPEN-X143,0,2024-04-27T16:37:17.363020,Alarm,1
44,D440,Cycle/S3/cycle/off/03,750,2024-04-27T16:37:17.420823,Cycle,1
49,M111,S12_JOB_NOT_ECEJTED_TR1,0,2024-04-27T16:37:17.470720,Alarm,1
45,D474,Cycle/S3/cycle/off/04,930,2024-04-27T16:37:17.538021,Cycle,1
50,M112,S12_JOB_NOT_ECEJTED_TR2,0,2024-04-27T16:37:17.593790,Alarm,1
46,D244,Cycle/S4/cycle/on/00,50,2024-04-27T16:37:17.657121,Cycle,1
51,M113,S12_JOB_NOT_ECEJTED_TR3,0,2024-04-27T16:37:17.707043,Alarm,1
47,D248,Cycle/S4/cycle/on/01,200,2024-04-27T16:37:17.774557,Cycle,1
48,D242,Cycle/S4/cycle/on/02,750,2024-04-27T16:37:17.800105,Cycle,1
52,M114,S12_JOB_NOT_ECEJTED_TR4,0,2024-04-27T16:37:17.844380,Alarm,1
49,D248,Cycle/S4/cycle/on/03,200,2024-04-27T16:37:17.916995,Cycle,1
53,M150,S1_LOW_LEVEL_FLG_TR1,0,2024-04-27T16:37:17.957626,Alarm,1
50,D217,Cycle/S4/cycle/on/04,350,2024-04-27T16:37:18.030608,Cycle,1
54,M151,S1_LOW_LEVEL_FLG_TR2,0,2024-04-27T16:37:18.075753,Alarm,1
55,M148,S1_LOW_LEVEL_FLG_TR3,0,2024-04-27T16:37:18.213962,Alarm,1
56,M149,S1_LOW_LEVEL_FLG_TR4,0,2024-04-27T16:37:18.327596,Alarm,1
51,D245,Cycle/S4/cycle/on/05,430,2024-04-27T16:37:18.368437,Cycle,1
57,M143,S4_LL_FLG_TR1,0,2024-04-27T16:37:18.450561,Alarm,1
52,D243,Cycle/S4/cycle/on/06,200,2024-04-27T16:37:18.492325,Cycle,1
58,M144,S4_LL_FLG_TR2,0,2024-04-27T16:37:18.569142,Alarm,1
53,D247,Cycle/S4/cycle/on/07,800,2024-04-27T16:37:18.614857,Cycle,1
59,M145,S4_LL_FLG_TR3,0,2024-04-27T16:37:18.697238,Alarm,1
54,D247,Cycle/S4/cycle/on/08,800,2024-04-27T16:37:18.737864,Cycle,1
60,M146,S4_LL_FLG_TR4,0,2024-04-27T16:37:18.815616,Alarm,1
55,D249,Cycle/S4/cycle/on/09,0,2024-04-27T16:37:18.856547,Cycle,1
61,M80,S1_BOTTOM_CAP_MISSING_TR1,0,2024-04-27T16:37:18.938461,Alarm,1
56,D250,Cycle/S4/cycle/on/10,0,2024-04-27T16:37:18.979185,Cycle,1
62,M81,S3_SILICON_PRESENCE_MISSING_TR1,0,2024-04-27T16:37:19.051432,Alarm,1
57,D444,Cycle/S4/cycle/off/00,200,2024-04-27T16:37:19.097193,Cycle,1
63,M82,S5_COVER_PRESENCE_MISSING_TR1_,0,2024-04-27T16:37:19.173726,Alarm,1
58,D448,Cycle/S4/cycle/off/01,300,2024-04-27T16:37:19.214994,Cycle,1
64,M83,S8_HEIGHT_CHK_MISSING_TR1,0,2024-04-27T16:37:19.291680,Alarm,1
59,D442,Cycle/S4/cycle/off/02,800,2024-04-27T16:37:19.327930,Cycle,1
65,M84,S1_BOTTOM_CAP_MISSING_TR2,0,2024-04-27T16:37:19.404826,Alarm,1
60,D448,Cycle/S4/cycle/off/03,300,2024-04-27T16:37:19.440514,Cycle,1
61,D417,Cycle/S4/cycle/off/04,700,2024-04-27T16:37:19.463676,Cycle,1
66,M85,S3_SILICON_PRESENCE_MISSING_TR2,0,2024-04-27T16:37:19.537992,Alarm,1
62,D445,Cycle/S4/cycle/off/05,500,2024-04-27T16:37:19.595752,Cycle,1
67,M86,S5_COVER_PRESENCE_MISSING_TR2,0,2024-04-27T16:37:19.676050,Alarm,1
63,D443,Cycle/S4/cycle/off/06,250,2024-04-27T16:37:19.738960,Cycle,1
64,D447,Cycle/S4/cycle/off/07,900,2024-04-27T16:37:19.785060,Cycle,1
68,M87,S9_HEIGHT_CHK_MISSING_TR2,0,2024-04-27T16:37:19.849262,Alarm,1
65,D447,Cycle/S4/cycle/off/08,900,2024-04-27T16:37:19.917229,Cycle,1
69,M88,S1_BOTTOM_CAP_MISSING_TR3,0,2024-04-27T16:37:19.977586,Alarm,1
66,D449,Cycle/S4/cycle/off/09,0,2024-04-27T16:37:20.052515,Cycle,1
70,M89,S3_SILICON_PRESENCE_MISSING_TR3,0,2024-04-27T16:37:20.105884,Alarm,1
67,D450,Cycle/S4/cycle/off/10,0,2024-04-27T16:37:20.173940,Cycle,1
71,M90,S5_COVER_PRESENCE_MISSING_TR3,0,2024-04-27T16:37:20.229432,Alarm,1
68,D251,Cycle/S5/cycle/on/00,300,2024-04-27T16:37:20.302352,Cycle,1
72,M91,S8_HEIGHT_CHK_MISSING_TR3,0,2024-04-27T16:37:20.357160,Alarm,1
69,D252,Cycle/S5/cycle/on/01,760,2024-04-27T16:37:20.424731,Cycle,1
73,M92,S1_BOTTOM_CAP_MISSING_TR4,0,2024-04-27T16:37:20.479753,Alarm,1
70,D304,Cycle/S5/cycle/on/02,600,2024-04-27T16:37:20.547684,Cycle,1
74,M93,S3_SILICON_PRESENCE_MISSING_TR4,0,2024-04-27T16:37:20.593444,Alarm,1
71,D451,Cycle/S5/cycle/off/00,350,2024-04-27T16:37:20.650978,Cycle,1
75,M94,S5_COVER_PRESENCE_MISSING_TR4,0,2024-04-27T16:37:20.696845,Alarm,1
72,D452,Cycle/S5/cycle/off/01,900,2024-04-27T16:37:20.763924,Cycle,1
76,M95,S9_HEIGHT_CHK_MC_TR4,0,2024-04-27T16:37:20.809576,Alarm,1
73,D504,Cycle/S5/cycle/off/02,750,2024-04-27T16:37:20.875290,Cycle,1
77,M131,S7_WELDING_CHK_MISSING_TR1_,0,2024-04-27T16:37:20.922489,Alarm,1
74,D253,Cycle/S6/cycle/on/00,250,2024-04-27T16:37:20.985225,Cycle,1
78,M132,S7_WELDING_CHK_MISSING_TR3,0,2024-04-27T16:37:21.040902,Alarm,1
75,D282,Cycle/S6/cycle/on/01,350,2024-04-27T16:37:21.109437,Cycle,1
79,M133,S6_WELDING_CHK_MISSING_TR2,0,2024-04-27T16:37:21.258605,Alarm,1
76,D255,Cycle/S6/cycle/on/02,400,2024-04-27T16:37:21.324403,Cycle,1
80,M134,S6_WELDING_CHK_MISSING_TR4,0,2024-04-27T16:37:21.381953,Alarm,1
77,D275,Cycle/S6/cycle/on/03,450,2024-04-27T16:37:21.448959,Cycle,1
81,M115,S10_LEAK_TEST_MISS_TR1,0,2024-04-27T16:37:21.499789,Alarm,1
78,D281,Cycle/S6/cycle/on/04,850,2024-04-27T16:37:21.560880,Cycle,1
82,M51,S10_LEAK_TEST_MISS_TR2,0,2024-04-27T16:37:21.617030,Alarm,1
79,D254,Cycle/S6/cycle/on/05,910,2024-04-27T16:37:21.679921,Cycle,1
83,M116,S10_LEAK_TEST_MISS_TR3,0,2024-04-27T16:37:21.730740,Alarm,1
80,D453,Cycle/S6/cycle/off/00,320,2024-04-27T16:37:21.795265,Cycle,1
84,M117,S10_LEAK_TEST_MISS_TR4,0,2024-04-27T16:37:21.848750,Alarm,1
81,D482,Cycle/S6/cycle/off/01,400,2024-04-27T16:37:21.916281,Cycle,1
85,M125,S1_B-F-1_JAM_,1,2024-04-27T16:37:21.967707,Alarm,1
82,D455,Cycle/S6/cycle/off/02,990,2024-04-27T16:37:22.029402,Cycle,1
86,M126,S1_B-F-2_JAM_,1,2024-04-27T16:37:22.080375,Alarm,1
83,D475,Cycle/S6/cycle/off/03,500,2024-04-27T16:37:22.142595,Cycle,1
87,M127,S2_B-F_-1_JAM,1,2024-04-27T16:37:22.199273,Alarm,1
88,M128,S4_B-F_-1_JAM_,1,2024-04-27T16:37:22.230036,Alarm,1
89,M129,S4_B-F-2_JAM,1,2024-04-27T16:37:22.256856,Alarm,1
84,D481,Cycle/S6/cycle/off/04,900,2024-04-27T16:37:22.310414,Cycle,1
85,D454,Cycle/S6/cycle/off/05,970,2024-04-27T16:37:22.418949,Cycle,1
86,D257,Cycle/S7/cycle/on/00,250,2024-04-27T16:37:22.517583,Cycle,1
87,D259,Cycle/S7/cycle/on/01,400,2024-04-27T16:37:22.535765,Cycle,1
88,D276,Cycle/S7/cycle/on/02,450,2024-04-27T16:37:22.641388,Cycle,1
89,D258,Cycle/S7/cycle/on/03,910,2024-04-27T16:37:22.744253,Cycle,1
90,D457,Cycle/S7/cycle/off/00,320,2024-04-27T16:37:22.848026,Cycle,1
91,D459,Cycle/S7/cycle/off/01,990,2024-04-27T16:37:22.947078,Cycle,1
92,D476,Cycle/S7/cycle/off/02,650,2024-04-27T16:37:23.050623,Cycle,1
93,D458,Cycle/S7/cycle/off/03,970,2024-04-27T16:37:23.155344,Cycle,1
94,D225,Cycle/S8/cycle/on/00,650,2024-04-27T16:37:23.264256,Cycle,1
95,D425,Cycle/S8/cycle/off/00,700,2024-04-27T16:37:23.372892,Cycle,1
96,D226,Cycle/S9/cycle/on/00,650,2024-04-27T16:37:23.481820,Cycle,1
97,D426,Cycle/S9/cycle/off/00,700,2024-04-27T16:37:23.594768,Cycle,1
98,D261,Cycle/S10/cycle/on/00,270,2024-04-27T16:37:23.698574,Cycle,1
99,D230,Cycle/S10/cycle/on/01,540,2024-04-27T16:37:23.801347,Cycle,1
100,D284,Cycle/S10/cycle/on/02,630,2024-04-27T16:37:23.894949,Cycle,1
101,D262,Cycle/S10/cycle/on/03,930,2024-04-27T16:37:23.909236,Cycle,1
102,D461,Cycle/S10/cycle/off/00,350,2024-04-27T16:37:24.023479,Cycle,1
103,D430,Cycle/S10/cycle/off/01,600,2024-04-27T16:37:24.126152,Cycle,1
104,D484,Cycle/S10/cycle/off/02,750,2024-04-27T16:37:24.230706,Cycle,1
105,D462,Cycle/S10/cycle/off/03,990,2024-04-27T16:37:24.328205,Cycle,1
106,D265,Cycle/S11/cycle/on/00,200,2024-04-27T16:37:24.447635,Cycle,1
107,D267,Cycle/S11/cycle/on/01,490,2024-04-27T16:37:24.575160,Cycle,1
108,D266,Cycle/S11/cycle/on/02,830,2024-04-27T16:37:24.678751,Cycle,1
109,D268,Cycle/S11/cycle/on/03,950,2024-04-27T16:37:24.777086,Cycle,1
110,D465,Cycle/S11/cycle/off/00,270,2024-04-27T16:37:24.875893,Cycle,1
111,D467,Cycle/S11/cycle/off/01,500,2024-04-27T16:37:24.973782,Cycle,1
112,D466,Cycle/S11/cycle/off/02,930,2024-04-27T16:37:25.072588,Cycle,1
