No.,ID,Name Variable,Value,Timestamp,Kind of Data,Connected Wifi
0,On,On,0,2024-04-27T16:33:02.184131,MachineStatus,1
0,D100,Encoder Value,914,2024-04-27T16:33:03.254997,Encoder,1
0,D4112,S8_CURRENT_HEIGHT_TR1,0.0,2024-04-27T16:33:03.280433,Setting,1
0,D3012,goodProductRaw,32015,2024-04-27T16:33:03.330880,Counting,1
0,X33,S2/in/00,1,2024-04-27T16:33:03.350341,Input,1
0,D3050,BOTTOM_CAP_REJ_TR1,34,2024-04-27T16:33:03.368165,Checking,1
1,D3052,SILICON_PRESENCE_REJ_TR1,95,2024-04-27T16:33:03.394728,Checking,1
2,D3054,COVER_PRESENCE_REJ_TR1,95,2024-04-27T16:33:03.428534,Checking,1
1,D4116,S8_OFF_SET_TR1,20.95,2024-04-27T16:33:03.486488,Setting,1
2,D4120,S8_TOTAL_HEIGHT_TR1,20.95,2024-04-27T16:33:03.512048,Setting,1
1,D3043,EFF,96.2,2024-04-27T16:33:03.541552,Counting,1
1,X34,S2/in/01,0,2024-04-27T16:33:03.613310,Input,1
0,Y21,S2/out/00,1,2024-04-27T16:33:03.673438,Output,1
1,Y22,S2/out/01,0,2024-04-27T16:33:03.713629,Output,1
2,Y27,S2/out/02,0,2024-04-27T16:33:03.741160,Output,1
0,D212,Cycle/S1/cycle/on/00,20,2024-04-27T16:33:03.782294,Cycle,1
1,D210,Cycle/S1/cycle/on/01,230,2024-04-27T16:33:03.814137,Cycle,1
2,D223,Cycle/S1/cycle/on/02,250,2024-04-27T16:33:03.847366,Cycle,1
3,D218,Cycle/S1/cycle/on/03,350,2024-04-27T16:33:03.873593,Cycle,1
4,D213,Cycle/S1/cycle/on/04,500,2024-04-27T16:33:03.900124,Cycle,1
5,D211,Cycle/S1/cycle/on/05,715,2024-04-27T16:33:03.963009,Cycle,1
3,D3056,HEIGHT_CHK_REJ_TR1,1,2024-04-27T16:33:03.990064,Checking,1
3,Y30,S2/out/03,0,2024-04-27T16:33:04.016582,Output,1
3,D4124,S8_MINIMUN_HEIGHT_VALUE_TR1,21.0,2024-04-27T16:33:04.052227,Setting,1
2,D3150,ACT_BATCH_CNT,1702,2024-04-27T16:33:04.153434,Counting,1
2,X35,S2/in/02,0,2024-04-27T16:33:04.191968,Input,1
6,D300,Cycle/S1/cycle/on/06,740,2024-04-27T16:33:04.223006,Cycle,1
4,D3058,LEAK_TEST_CHK_OK_TR1,99,2024-04-27T16:33:04.239168,Checking,1
4,Y31,S2/out/04,0,2024-04-27T16:33:04.254682,Output,1
5,Y32,S2/out/05,0,2024-04-27T16:33:04.277216,Output,1
4,D4128,S8_MAXIMUM_HEIGHT_VALUE_TR1,21.32,2024-04-27T16:33:04.307218,Setting,1
5,D4312,S8_CURRENT_HEIGHT_TR3,0.03,2024-04-27T16:33:04.329224,Setting,1
