No.,Output_Index,ID_Output,Output_Name,Output_Type,Value
0,52,Y64,S6/out/00,b,0
1,53,Y65,S6/out/01,b,0
2,54,Y66,S6/out/02,b,0
3,160,Y240,S6/out/03,b,0
4,161,Y241,S6/out/04,b,0
5,162,Y242,S6/out/05,b,0
6,163,Y243,S6/out/06,b,0
7,190,Y276,S6/out/07,b,0
8,191,Y277,S6/out/08,b,0
