No.,Output_Index,ID_Output,Output_Name,Output_Type,Value
0,55,Y67,S7/out/00,b,0
1,56,Y70,S7/out/01,b,0
2,57,Y71,S7/out/02,b,0
3,164,Y244,S7/out/03,b,0
4,165,Y245,S7/out/04,b,0
5,166,Y246,S7/out/05,b,0
6,167,Y247,S7/out/06,b,0
